ISBN10,Author,reviews_count,seller_name,Title,categories
141988517,Jordan B. Peterson,43801,Amazon,12 Rules for Life: An Antidote to Chaos,"[""Books"",""Business & Money"",""Job Hunting & Careers""]"
62315005,Paulo Coelho,64522,Vivé Liber Books LLC,"The Alchemist, 25th Anniversary: A Fable About Following Your Dream","[""Books"",""Literature & Fiction"",""Genre Fiction""]"
9.78E+12,Yuval Noah Harari,50059,EZSHOP7,Sapiens: A Brief History of Humankind,"[""Books"",""History"",""World""]"
9.78E+12,by Yuval Harari (Author),50059,Amazon,Sapiens: A Brief History of Humankind,"[""Books"",""History"",""World""]"
62319787,Michelle McNamara,12943,DuctTape LaneDuctTape Lane-OnTimeBooks-,I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer,"[""Books"",""Biographies & Memoirs"",""Professionals & Academics""]"
62319795,Michelle McNamara,12943,-OnTimeBooks-,I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer,"[""Books"",""Biographies & Memoirs"",""Professionals & Academics""]"
62868942,Lucy Foley,54938,cratehog,The Guest List: A Novel,"[""Books"",""Mystery, Thriller & Suspense"",""Mystery""]"
006287067X,Heather Morris,46174,Amazon,The Tattooist of Auschwitz: A Novel,"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
142402516,John Green,13463,Amazon,Looking for Alaska,"[""Books"",""Romance"",""Contemporary""]"
142403873,Julia Donaldson,20576,Amazon,The Gruffalo,"[""Books"",""Children's Books"",""Animals""]"
014240733X,S. E. Hinton,25054,Jenson Books Inc.,The Outsiders,"[""Books"",""Teen & Young Adult"",""Literature & Fiction""]"
62899147,Mark Manson,58209,worldofbooksinc,HarperLuxe The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,"[""Books"",""Self-Help"",""Happiness""]"
62353594,Julia Quinn,32433,Amazon,The Duke and I: The (Bridgertons Book 1),"[""Books"",""Literature & Fiction"",""Women's Fiction""]"
006235373X,Julia Quinn,15975,Amazon,"To Sir Phillip, With Love (Bridgertons Book 5)","[""Books"",""Literature & Fiction"",""Women's Fiction""]"
62353780,Julia Quinn,14459,Amazon,When He Was Wicked (Bridgertons Book 6),"[""Books"",""Romance"",""Historical""]"
62387243,Veronica Roth,29549,Clickgoodwill,"Divergent (Divergent Series, 1)","[""Books"",""Teen & Young Adult"",""Literature & Fiction""]"
014242417X,John Green,57358,Amazon,The Fault in Our Stars,"[""Books"",""Teen & Young Adult"",""Literature & Fiction""]"
62397346,Howard Zinn,10298,Vivé Liber Books LLC,A People's History of the United States,"[""Books"",""History"",""Americas""]"
62407805,Chris VossTahl Raz,21322,TLF Company,Never Split the Difference: Negotiating As If Your Life Depended On It,"[""Books"",""Business & Money"",""Management & Leadership""]"
62420704,Harper Lee,53270,MediaFlow,"To Kill a Mockingbird, 50th Anniversary Edition","[""Books"",""Literature & Fiction"",""Genre Fiction""]"
006242713X,by Dr. Steven R Gundry MD (Author),12492,Joe's Online Emporium,"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain (The Plant Paradox, 1)","[""Books"",""Health, Fitness & Dieting"",""Diets & Weight Loss""]"
142501123,Julia Donaldson,29363,Amazon,Room on the Broom,"[""Books"",""Children's Books"",""Science Fiction & Fantasy""]"
143110438,Amor Towles,37254,Missouri_Goodwill_Industries,A Gentleman in Moscow: A Novel,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]"
143111396,Sue Monk Kidd,12828,Old Cary Books,The Book of Longings: A Novel,"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
9.78E+12,Frank Herbert,43289,Amazon,Dune (Penguin Galaxy),"[""Books"",""Literature & Fiction"",""United States""]"
9.78E+12,Deborah Harkness,20152,-OnTimeBooks-,A Discovery of Witches (All Souls Series),"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
143121707,Sue Monk Kidd,17777,Village Books & Media,The Invention of Wings,"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
143123629,Deborah Harkness,14153,Bibliopolium LLC,"Shadow of Night (All Souls Trilogy, Bk 2) (All Souls Series)","[""Books"",""Literature & Fiction"",""Genre Fiction""]"
9.78E+12,Daniel James Brown,28517,AP Books and More,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,"[""Books"",""History"",""Americas""]"
143127527,Deborah Harkness,16685,Rich Media Direct,The Book of Life: A Novel (All Souls Series),"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
143127551,Celeste Ng,21486,Vivé Liber Books LLC,Everything I Never Told You,"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
143127748,by Bessel van der Kolk M.D. (Author),39631,Amazon,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma","[""Books"",""Medical Books"",""Medicine""]"
143130722,Héctor GarcíaFrancesc Miralles,19968,Amazon,Ikigai: The Japanese Secret to a Long and Happy Life,"[""Books"",""Health, Fitness & Dieting"",""Aging""]"
143131664,Keri Smith,17424,Media Relay LLC,Wreck This Journal: Now in Color,"[""Books"",""Crafts, Hobbies & Home"",""Crafts & Hobbies""]"
143134116,Raynor Winn,11306,B&D ENTERPRISES LLC,The Salt Path: A Memoir,"[""Books"",""Reference"",""Writing, Research & Publishing Guides""]"
143134760,Georgia Hunter,10610,illventure,We Were the Lucky Ones: A Novel,"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
143136968,Daniel James Brown,28517,Great Time Books,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,"[""Books"",""History"",""Americas""]"
9.78E+12,Sadhguru,11245,XpressDealsUSXpressDealsUSManor379,"Inner Engineering: A Yogi's Guide to Joy [Paperback] [Jan 01, 2014] SADHGURU","[""Books"",""Religion & Spirituality"",""New Age & Spirituality""]"
151072558,George Orwell,26096,Ricehoppers13,Animal Farm,"[""Books"",""Literature & Fiction"",""United States""]"
9.78E+12,Yann Martel,12860,Jenson Books Inc,Life of Pi,"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
198826737,Jane Austen,24978,Amazon,Pride and Prejudice (Oxford World's Classics),"[""Books"",""Literature & Fiction"",""History & Criticism""]"
199535981,Oscar Wilde,10147,ZBK Books,The Picture of Dorian Gray (Oxford World's Classics),"[""Books"",""LGBTQ+ Books"",""Literature & Fiction""]"
24128912,James Nestor,14703,ThiBsThiBs,Breath: The New Science of a Lost Art,"[""Books"",""Health, Fitness & Dieting"",""Alternative Medicine""]"
241357551,Stan LeeDK,11017,Amazon,Marvel Encyclopedia New Edition,"[""Books"",""Comics & Graphic Novels"",""Graphic Novels""]"
241399750,Mrs Hinch,17523,Fast Same Day Products,Hinch Yourself Happy: All The Best Cleaning Tips To Shine Your Sink And Soothe Your Soul,"[""Books"",""Crafts, Hobbies & Home"",""Home Improvement & Design""]"
306846365,Anne Glenconner,13678,GoodwillBooks,Lady in Waiting: My Extraordinary Life in the Shadow of the Crown,"[""Books"",""History"",""Europe""]"
306846373,Anne Glenconner,13678,Rebound Media,Lady in Waiting: My Extraordinary Life in the Shadow of the Crown,"[""Books"",""History"",""Europe""]"
241426847,Mrs Hinch,15127,Find It HERE For LESS,Mrs Hinch: The Activity Journal,"[""Books"",""Crafts, Hobbies & Home"",""Home Improvement & Design""]"
307010856,Jon Stone,23181,Amazon,The Monster at the End of This Book,"[""Books"",""Children's Books"",""Activities, Crafts & Games""]"
307118398,Mercer Mayer,11409,Amazon,Just Me and My Dad (Little Critter),"[""Books"",""Children's Books"",""Animals""]"
241988268,Richard Osman,67564,YMCA at Virginia Tech Thrift Shop,The Thursday Murder Club: The Record-Breaking Sunday Times Number One Bestseller,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]"
241991021,Richard Osman,67564,BOOKS etc. _BOOKS etc. _,The Thursday Murder Club: The Record-Breaking Sunday Times Number One Bestseller,"[""Books"",""Comics & Graphic Novels"",""Graphic Novels""]"
307271080,Chimamanda Ngozi Adichie,11826,owl_of_minerva_books,Americanah: A novel (ALA Notable Books for Adults),"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
307283658,J.K. Rowling,27632,Novatechs,Harry Potter and the Half-Blood Prince (Book 6),"[""Books"",""Children's Books"",""Growing Up & Facts of Life""]"
307341550,Gillian Flynn,16417,VMG Books & Media,Sharp Objects,"[""Books"",""Mystery, Thriller & Suspense"",""Mystery""]"
307352145,Susan Cain,16113,KJS Direct,Quiet: The Power of Introverts in a World That Can't Stop Talking,"[""Books"",""Self-Help"",""Relationships""]"
307352153,Susan Cain,16113,Amazon,Quiet: The Power of Introverts in a World That Can't Stop Talking,"[""Books"",""Self-Help"",""Relationships""]"
9.78E+12,Cormac McCarthy,10644,VMG Books & Media,The Road (Oprah's Book Club),"[""Books"",""Literature & Fiction"",""Contemporary""]"
9.78E+12,Chimamanda Ngozi Adichie,11826,-OnTimeBooks-,Americanah,"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
307465357,Timothy Ferriss,15420,Artemis Speed,"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich","[""Books"",""Business & Money"",""Business Culture""]"
307476073,Cheryl Strayed,21315,Jenson Books Inc,Wild: From Lost to Found on the Pacific Crest Trail,"[""Books"",""Travel"",""United States""]"
307592731,Cheryl Strayed,21315,Vivé Liber Books LLC,Wild: From Lost to Found on the Pacific Crest Trail,"[""Books"",""Travel"",""United States""]"
307729915,Lisa Tawn BergrenLaura J. Bryant,18171,Jerz Products LLC,God Gave Us You,"[""Books"",""Children's Books"",""Literature & Fiction""]"
307742482,David Grann,17891,Vivé Liber Books LLC,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,"[""Books"",""Politics & Social Sciences"",""Social Sciences""]"
9.78E+12,Erin Morgenstern,16877,illventure,The Night Circus,"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
030788743X,Ernest Cline,40904,Red Pool,Ready Player One,"[""Books"",""Humor & Entertainment"",""Humor""]"
307887448,Ernest Cline,40904,Treasures & Goods,Ready Player One: A Novel,"[""Books"",""Humor & Entertainment"",""Humor""]"
9.78E+12,Dr. Seuss,11778,Amazon,Fox in Socks: Dr. Seuss's Book of Tongue Tanglers (Bright & Early Board Books(TM)),"[""Books"",""Children's Books"",""Early Learning""]"
307947300,Stephen King,22356,Mortuus Books,The Stand,"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
307949486,Stieg Larsson,13346,-OnTimeBooks-,The Girl with the Dragon Tattoo (Millennium Series),"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]"
307950689,Dan Brown,12828,-OnTimeBooks-,The Lost Symbol (Robert Langdon),"[""Books"",""Literature & Fiction"",""Action & Adventure""]"
307957837,Philip Pullman,11534,worldofbooksinc,His Dark Materials: The Golden Compass / The Subtle Knife / The Amber Spyglass,"[""Books"",""Crafts, Hobbies & Home"",""Crafts & Hobbies""]"
030797586X,Dr. Seuss,11204,Ivy_League_Books,The Little Blue Box of Bright and Early Board Books by Dr. Seuss (Bright & Early Board Books(TM)),"[""Books"",""Children's Books"",""Literature & Fiction""]"
9.78E+12,Jon Stone,23181,Amazon,Another Monster at the End of This Book,"[""Books"",""Children's Books"",""Literature & Fiction""]"
9.78E+12,Henry Cloud,18440,desert18desert18HarryBat,"Boundaries: When to Say Yes, How to Say No to Take Control of Your Life","[""Books"",""Christian Books & Bibles"",""Christian Living""]"
031033750X,Rick Warren,10803,-OnTimeBooks-,The Purpose Driven Life: What on Earth Am I Here For?,"[""Books"",""Christian Books & Bibles"",""Christian Living""]"
310350239,Henry Cloud,18440,Lower-Christian-PricesLower-Christian-Prices,"Boundaries Updated and Expanded Edition: When to Say Yes, How to Say No To Take Control of Your Life","[""Books"",""Self-Help"",""Relationships""]"
310351804,Henry Cloud,18440,AZ e-slinger,"Boundaries Updated and Expanded Edition: When to Say Yes, How to Say No To Take Control of Your Life","[""Books"",""Self-Help"",""Relationships""]"
310708257,Sally Lloyd-JonesJago,10058,-OnTimeBooks-,The Jesus Storybook Bible: Every Story Whispers His Name,"[""Books"",""Children's Books"",""Literature & Fiction""]"
